epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
64,2961.25,0.37488,0.36541,0.26855,0.00162,0.14894,0.961,0.95976,0.97541,0.95113,0.96077,0.95954,0.97057,0.85016,0.26702,0.33351,0.21902,0.00194,0,0.0281289,0.0093763,0.0281289,0.0093763,0.0281289,0.0093763,0.0281289,0.0093763
65,3007.26,0.37419,0.3694,0.27366,0.00166,0.14901,0.96589,0.95528,0.97498,0.95269,0.96589,0.95528,0.97097,0.84914,0.26254,0.33707,0.22011,0.0018,0,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
66,3053.24,0.37353,0.35917,0.2674,0.00164,0.15259,0.96676,0.95757,0.97688,0.95508,0.9663,0.95703,0.97221,0.84848,0.26126,0.333,0.2185,0.00179,0,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
67,3099.06,0.37285,0.36766,0.26685,0.00164,0.15826,0.9609,0.96366,0.97718,0.95524,0.9609,0.96366,0.97262,0.85704,0.26286,0.3389,0.21318,0.00187,0,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466
68,3145.02,0.37397,0.37174,0.26573,0.00163,0.15228,0.96245,0.9636,0.97789,0.9555,0.96226,0.9629,0.97335,0.85677,0.26636,0.34025,0.21428,0.00183,0,0.0280101,0.0093367,0.0280101,0.0093367,0.0280101,0.0093367,0.0280101,0.0093367
69,3190.81,0.37696,0.37229,0.26294,0.00163,0.1459,0.9605,0.96628,0.97665,0.95273,0.96083,0.96525,0.97197,0.85604,0.26818,0.32765,0.22358,0.00183,0,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
70,3236.87,0.37771,0.3763,0.27539,0.00164,0.15851,0.96531,0.96181,0.9796,0.95717,0.96531,0.96181,0.97458,0.85809,0.26515,0.33414,0.21226,0.00179,0,0.0279507,0.0093169,0.0279507,0.0093169,0.0279507,0.0093169,0.0279507,0.0093169
71,3282.99,0.37267,0.36181,0.26629,0.00164,0.1516,0.95721,0.96439,0.97865,0.95527,0.95721,0.96439,0.97341,0.85679,0.26531,0.33499,0.21752,0.00179,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
72,3328.9,0.36452,0.36266,0.26706,0.00159,0.14853,0.96534,0.95592,0.97783,0.95597,0.96534,0.95592,0.97336,0.85784,0.26237,0.33053,0.22132,0.00182,0,0.0278913,0.0092971,0.0278913,0.0092971,0.0278913,0.0092971,0.0278913,0.0092971
73,3374.87,0.36795,0.3671,0.26508,0.00161,0.15127,0.9627,0.96625,0.97755,0.95479,0.9627,0.96625,0.97289,0.85896,0.2638,0.3246,0.21654,0.00181,0,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
74,3420.81,0.36323,0.35683,0.26056,0.00157,0.15002,0.95997,0.95653,0.97614,0.95364,0.95997,0.95653,0.97189,0.86039,0.26561,0.33389,0.22474,0.00183,0,0.0278319,0.0092773,0.0278319,0.0092773,0.0278319,0.0092773,0.0278319,0.0092773
75,3466.64,0.36388,0.35312,0.25713,0.0016,0.14175,0.95997,0.9676,0.97833,0.95518,0.95997,0.9676,0.97391,0.86236,0.26083,0.32504,0.21364,0.00175,0,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674
76,3512.75,0.3637,0.35452,0.26436,0.00159,0.14618,0.96325,0.9634,0.9772,0.95367,0.96325,0.9634,0.97301,0.85556,0.2668,0.33127,0.21531,0.00187,0,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
77,3558.71,0.3575,0.35547,0.25206,0.00154,0.14343,0.96352,0.96292,0.97695,0.95469,0.96352,0.96292,0.97314,0.86297,0.26541,0.32586,0.21861,0.0018,0,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476
78,3604.77,0.36401,0.36174,0.25883,0.0016,0.15026,0.96618,0.96042,0.97585,0.95342,0.96618,0.96042,0.97122,0.84702,0.26044,0.33482,0.21776,0.00179,0,0.0277131,0.0092377,0.0277131,0.0092377,0.0277131,0.0092377,0.0277131,0.0092377
79,3650.81,0.36315,0.37035,0.25595,0.00157,0.14118,0.96185,0.95455,0.97438,0.94942,0.96185,0.95455,0.96963,0.8501,0.26602,0.32983,0.22768,0.00182,0,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278
80,3696.86,0.36345,0.37223,0.27088,0.00161,0.15734,0.95923,0.96324,0.97738,0.95242,0.95902,0.96303,0.97228,0.85596,0.26177,0.33146,0.22072,0.00178,0,0.0276537,0.0092179,0.0276537,0.0092179,0.0276537,0.0092179,0.0276537,0.0092179
81,3743.58,0.36795,0.37821,0.26566,0.0016,0.15374,0.96337,0.96398,0.97699,0.95361,0.96337,0.96398,0.97234,0.85129,0.26193,0.32681,0.21912,0.00175,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
82,3789.79,0.36784,0.35912,0.26099,0.00158,0.14884,0.96019,0.96549,0.97597,0.95269,0.96003,0.96528,0.97157,0.85676,0.26476,0.32519,0.22185,0.00179,0,0.0275943,0.0091981,0.0275943,0.0091981,0.0275943,0.0091981,0.0275943,0.0091981
83,3835.85,0.36202,0.36601,0.25892,0.00158,0.14968,0.96408,0.95971,0.97666,0.95471,0.96457,0.95948,0.97228,0.8579,0.25798,0.3294,0.22044,0.00175,0,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882
84,3881.79,0.36663,0.35667,0.25658,0.00159,0.15007,0.95795,0.95994,0.97535,0.95197,0.95824,0.95952,0.97086,0.85933,0.26247,0.32963,0.22066,0.00179,0,0.0275349,0.0091783,0.0275349,0.0091783,0.0275349,0.0091783,0.0275349,0.0091783
85,3927.66,0.36672,0.3608,0.26227,0.0016,0.14838,0.96584,0.96534,0.97801,0.95418,0.96584,0.96534,0.97285,0.8523,0.26298,0.33386,0.21351,0.00177,0,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684
86,3973.71,0.36043,0.35615,0.25803,0.00157,0.14639,0.96025,0.96449,0.9784,0.9571,0.96067,0.9635,0.97341,0.85983,0.25728,0.31868,0.21798,0.00175,0,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
87,4019.6,0.36514,0.35529,0.25548,0.00158,0.14334,0.96581,0.96463,0.97575,0.95357,0.96581,0.96463,0.97085,0.85729,0.26251,0.33099,0.21663,0.00179,0,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486
88,4065.55,0.35481,0.3445,0.24637,0.00154,0.14216,0.95851,0.96535,0.97445,0.95398,0.95851,0.96535,0.97128,0.8565,0.26036,0.32356,0.21917,0.00184,0,0.0274161,0.0091387,0.0274161,0.0091387,0.0274161,0.0091387,0.0274161,0.0091387
89,4111.48,0.3534,0.34865,0.25272,0.00151,0.14942,0.96418,0.96415,0.97911,0.95755,0.96418,0.96415,0.97403,0.85906,0.25849,0.326,0.21075,0.00173,0,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288
90,4157.35,0.35903,0.35251,0.25385,0.00155,0.14473,0.9629,0.96549,0.97979,0.95857,0.9629,0.96549,0.97504,0.86087,0.26015,0.32545,0.20824,0.00178,0,0.0273567,0.0091189,0.0273567,0.0091189,0.0273567,0.0091189,0.0273567,0.0091189
91,4203.47,0.36497,0.3571,0.25381,0.00159,0.14448,0.9623,0.96198,0.97667,0.9543,0.9623,0.96198,0.9724,0.8542,0.2606,0.3378,0.21562,0.00181,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
92,4249.43,0.36472,0.36155,0.25654,0.00158,0.14529,0.96328,0.96383,0.97751,0.95676,0.96328,0.96383,0.97311,0.85406,0.25476,0.32317,0.21384,0.00174,0,0.0272973,0.0090991,0.0272973,0.0090991,0.0272973,0.0090991,0.0272973,0.0090991
93,4295.16,0.36072,0.35847,0.25127,0.00158,0.13907,0.96284,0.9632,0.97798,0.95536,0.96284,0.9632,0.97366,0.86028,0.26227,0.31784,0.21347,0.00179,0,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892
94,4341.18,0.35757,0.35056,0.25382,0.00155,0.13977,0.96414,0.96403,0.9801,0.95909,0.96414,0.96403,0.97544,0.86343,0.25717,0.32409,0.2129,0.00172,0,0.0272379,0.0090793,0.0272379,0.0090793,0.0272379,0.0090793,0.0272379,0.0090793
